City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,santiago de cao,-7.9589,-79.2392,69.93,88,75,8.05,PE,1738627832
255,fort mcmurray,56.7268,-111.381,-10.46,95,85,2.89,CA,1738627611
256,haiku-pauwela,20.9219,-156.3051,77.02,66,20,15.01,US,1738627834
257,darab,28.7519,54.5444,44.69,42,75,1.95,IR,1738627835
258,susuman,62.7833,148.1667,-50.03,99,71,0.4,RU,1738627836
259,barugo,11.3242,124.7383,76.55,85,76,3.31,PH,1738627837
260,al jumum,21.6169,39.6981,73.36,72,55,2.08,SA,1738627838
261,joshimath,30.5667,79.5667,39.45,25,25,9.75,IN,1738627840
262,callao,-12.0667,-77.15,80.73,83,75,11.5,PE,1738627842
263,orkney,-26.9802,26.6727,65.34,86,100,7.36,ZA,1738627844
264,guaruja,-23.9931,-46.2564,78.49,81,100,6.31,BR,1738627845
265,labrador city,52.9463,-66.9114,5.61,97,100,4.38,CA,1738627846
266,manokwari,-0.8667,134.0833,77.2,77,100,3.98,ID,1738627847
267,port alfred,-33.5906,26.891,68.18,95,0,10.98,ZA,1738627764
268,saint-philippe,-21.3585,55.7679,81.43,81,84,11.88,RE,1738627850
269,mirny,62.5353,113.9611,-2.29,92,100,18.25,RU,1738627851
270,sake,-1.5736,29.045,62.74,77,94,0.45,CD,1738627852
271,pacific grove,36.6177,-121.9166,61.66,75,0,13.0,US,1738627853
272,tabarka,36.9544,8.758,55.49,87,76,12.28,TN,1738627854
273,tindouf,27.6711,-8.1474,57.47,29,0,7.58,DZ,1738627855
274,lompoc,34.6391,-120.4579,60.69,64,0,9.22,US,1738627589
275,as sulayyil,20.4607,45.5779,53.37,28,71,7.9,SA,1738627857
276,new norfolk,-42.7826,147.0587,86.72,31,88,5.93,AU,1738627858
277,si sa ket,14.8333,104.3333,63.23,81,14,7.94,TH,1738627859
278,mosul,36.335,43.1189,47.17,37,0,3.4,IQ,1738627860
279,luderitz,-26.6481,15.1594,65.64,76,13,8.12,NA,1738627862
280,glace bay,46.1969,-59.957,27.9,90,100,8.99,CA,1738627863
281,alvaraes,-3.2208,-64.8042,76.1,79,79,3.51,BR,1738627864
282,kayyerkan,69.3786,87.7439,-7.04,93,100,6.64,RU,1738627865
283,haapsalu,58.9431,23.5414,27.99,82,100,4.79,EE,1738627866
284,kazanskoye,55.6448,69.235,18.82,95,100,5.28,RU,1738627867
285,island harbour,50.724,-1.2758,46.02,93,10,5.99,GB,1738627868
286,ekibastuz,51.6667,75.3667,4.87,98,36,4.09,KZ,1738627869
287,paradip garh,20.3167,86.6167,70.7,95,1,3.56,IN,1738627870
288,kimberley,-28.7323,24.7623,68.95,65,10,8.39,ZA,1738627871
289,ad dawadimi,24.5077,44.3924,49.35,28,6,10.38,SA,1738627872
290,georgiyevka,43.0369,74.7114,3.24,85,8,4.47,KZ,1738627874
291,dadukou,26.5479,101.7054,42.73,88,31,1.61,CN,1738627875
292,hadibu,12.65,54.0333,70.41,67,80,14.9,YE,1738627876
293,el alto,-4.2714,-81.2147,70.56,77,89,10.45,PE,1738627877
294,howrah,22.5892,88.3103,64.4,77,2,0.0,IN,1738627878
295,coahuayana de hidalgo,18.7,-103.6583,81.66,62,0,4.43,MX,1738627879
296,itoman,26.1247,127.6694,55.78,62,75,33.38,JP,1738627880
297,trincomalee,8.5711,81.2335,79.27,68,44,11.41,LK,1738627881
298,kerema,-7.9631,145.7785,77.81,93,100,9.51,PG,1738627882
299,awjilah,29.1081,21.2869,55.99,73,5,10.45,LY,1738627883
300,fortuna,40.5982,-124.1573,41.34,97,100,4.61,US,1738627885
301,malabar,-33.9667,151.25,85.51,63,40,17.27,AU,1738627886
302,usogorsk,63.4106,48.6872,6.84,96,100,6.24,RU,1738627887
303,belyy yar,53.6039,91.3903,-0.51,100,98,2.24,RU,1738627888
304,bosaso,11.2842,49.1816,67.48,69,35,3.44,SO,1738627890
305,urengoy,65.9667,78.3667,-18.74,100,83,5.28,RU,1738627891
306,rijau,11.103,5.2507,76.98,15,30,8.84,NG,1738627892
307,nema,57.5067,50.5011,26.19,96,100,7.9,RU,1738627893
308,hastings,50.8552,0.5729,47.95,89,85,15.39,GB,1738627894
309,regina,50.4501,-104.6178,-15.97,78,64,5.01,CA,1738627690
310,um jar al gharbiyya,13.8013,32.4078,75.76,27,37,10.87,SD,1738627897
311,golden valley,45.0097,-93.3491,24.24,72,100,10.36,US,1738627898
312,fort st. john,56.2499,-120.8529,-11.38,95,89,2.21,CA,1738627745
313,freeport,40.6576,-73.5832,42.78,89,0,8.05,US,1738627900
314,tregunc,47.85,-3.85,50.59,81,86,12.77,FR,1738627901
315,serdar,38.9764,56.2757,37.94,58,31,6.15,TM,1738627902
316,chesapeake beach,38.6862,-76.5347,46.31,86,97,11.99,US,1738627903
317,aykhal,66.0,111.5,-9.17,76,87,31.16,RU,1738627904
318,brigantine,39.4101,-74.3646,41.05,97,83,5.99,US,1738627905
319,lishu,43.3047,124.3278,-9.54,95,44,2.91,CN,1738627906
320,buchanan,5.8808,-10.0467,78.44,87,12,2.24,LR,1738627908
321,casimiro de abreu,-22.4806,-42.2042,76.51,86,95,2.39,BR,1738627909
322,alice springs,-23.7,133.8833,87.35,33,1,8.05,AU,1738627910
323,severo-yeniseyskiy,60.3725,93.0408,-18.81,100,88,4.03,RU,1738627911
324,khamis mushait,18.3064,42.7292,49.24,34,0,0.0,SA,1738627912
325,kupino,54.3663,77.2981,6.71,98,94,4.97,RU,1738627913
326,burela de cabo,43.65,-7.4,43.2,82,5,5.61,ES,1738627914
327,nurdagi,37.1773,36.7419,43.72,63,4,1.92,TR,1738627915
328,novo aripuana,-5.1206,-60.3797,75.06,98,93,1.99,BR,1738627916
329,dolbeau-mistassini,48.8763,-72.212,20.7,93,100,5.64,CA,1738627917
330,suva,-18.1416,178.4415,80.91,75,99,6.38,FJ,1738627918
331,hachinohe,40.5,141.5,37.58,60,40,21.85,JP,1738627920
332,carutapera,-1.195,-46.02,73.72,93,100,8.34,BR,1738627921
333,egilsstadir,65.2653,-14.3948,30.47,65,25,16.46,IS,1738627922
334,badvel,14.75,79.05,66.92,55,79,0.36,IN,1738627923
335,praia,14.9215,-23.5087,68.92,61,58,21.07,CV,1738627924
336,burgersdorp,-30.9977,26.3286,66.25,34,0,6.73,ZA,1738627926
337,kimbe,-5.5502,150.1429,85.71,70,94,2.44,PG,1738627927
338,emerald,-23.5333,148.1667,77.34,90,100,14.27,AU,1738627928
339,kingston,17.997,-76.7936,74.66,82,74,4.47,JM,1738627848
340,guarapari,-20.6667,-40.4975,77.11,84,83,11.03,BR,1738627930
341,motueka,-41.1333,173.0167,75.09,59,6,8.37,NZ,1738627931
342,ciudad lazaro cardenas,17.9583,-102.2,80.33,68,0,5.28,MX,1738627933
343,juan rodriguez clara,17.9833,-95.4083,75.54,80,82,7.43,MX,1738627934
344,forster,-32.1667,152.5167,76.98,71,94,5.64,AU,1738627935
345,andorra,42.5,1.5,35.78,58,3,3.65,AD,1738627936
346,kwadukuza,-29.3282,31.2895,72.03,92,74,2.3,ZA,1738627937
347,crane,31.3974,-102.3501,73.17,23,2,1.05,US,1738627691
348,tucurui,-3.7661,-49.6725,74.5,94,88,2.77,BR,1738627939
349,la passe,45.5549,-0.8967,41.41,80,0,4.92,FR,1738627940
350,tamanrasset,22.785,5.5228,42.71,17,0,4.61,DZ,1738627941
351,akureyri,65.6835,-18.0878,26.22,81,88,10.07,IS,1738627942
352,pavilosta,56.8879,21.1859,33.19,72,100,10.8,LV,1738627944
353,baharly,38.4362,57.4316,38.61,59,7,3.51,TM,1738627945
354,xingcheng,40.6167,120.7167,8.8,61,2,5.44,CN,1738627946
355,pombas,17.1503,-25.0201,58.05,69,84,17.9,CV,1738627947
356,gijang,35.2442,129.2139,22.71,54,9,19.37,KR,1738627948
357,conde,-7.2597,-34.9075,78.26,83,0,6.91,BR,1738627949
358,punta arenas,-53.15,-70.9167,48.31,57,40,14.97,CL,1738627950
359,argo,37.6333,22.7333,51.01,91,64,5.86,GR,1738627951
360,vila velha,-20.3297,-40.2925,79.16,81,93,9.8,BR,1738627952
361,qaqortoq,60.7167,-46.0333,-11.36,90,11,6.33,GL,1738627953
362,miracema do tocantins,-9.5618,-48.3967,73.72,93,92,3.33,BR,1738627955
363,selfoss,63.9331,-20.9971,34.77,90,57,20.15,IS,1738627956
